"File","Time","Period","Culture","Region","Modern Country"
"achaemenid_1.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran"
"achaemenid2.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran"
"achaemenid3.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran"
"achaemenid4.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran"
"achaemenid5.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran"
"achaemenid6.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran"
"anatolia_8_7_1.jpg","-800:-700","Iron Age","Urartian","Anatolia","Turkey"
"assyria7c10.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyria7c11.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyria7c9.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyria8c_1.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyria9th1.jpg","-900:-800","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyria9thc3.jpg","-900:-800","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyrian_1.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyrian3.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"assyrian4.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"cleobis_1.jpg","-600:-500","Archaic","Greek","Aegean","Greece"
"cleobis_2.jpg","-600:-500","Archaic","Greek","Aegean","Greece"
"cypriot_5th_3.JPG","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"cypriot_5th_4.JPG","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"cypriot_5th.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"cypriot_6th_10.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cypriot_6th_7.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cypriot_6th_8.png","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cypriot_6th_8.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cypriot_7th_6th_9.jpg","-700:600","Neo-Assyrian","Cypriot","Cyprus","Cyprus"
"cypriot-5thcentury_3.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"cypro_6th_centuryBC1.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cypro_7th_centuryBC1.jpg","-700:-600","Neo-Assyrian","Cypriot","Cyprus","Cyprus"
"cyprus_4th_2.jpeg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus"
"cyprus_4th_8.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus"
"cyprus_4th_c_3.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus"
"cyprus_4th_c_4.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus"
"cyprus_5th_15.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"cyprus_5th_8.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"cyprus_6-_44.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cyprus_6-5c_43.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cyprus_6th_13.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cyprus_6th_c_21.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"cyprus_7-6th_BC-5.jpg","-700:-600","Neo-Assyrian","Cypriot","Cyprus","Cyprus"
"cyrpus_5th_12.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"egypt_22_3.jpg","-1000:-700","Third Intermediate","Egyptian","Egypt","Egypt"
"egypt_26th_dynasty1.jpg","-700:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_6thC_14.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_7thc_15.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt"
"greek5_11.jpg","-500:-400","Hellenistic","Greek","Aegean","Greece"
"greek5th_6.jpg","-500:-400","Archaic","Greek","Aegean","Greece"
"greek6_1.jpg","-600:-500","Hellenistic","Greek","Aegean","Greece"
"greek6_2.jpg","-600:-500","Archaic","Greek","Aegean","Greece"
"hittite_8-11.jpg","-800:-1200","Iron Age","Hittite","Anatolia","Turkey"
"idalion_2_6thCentury.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"idalion_3_5thCentury.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"idalion_4_4thCentury.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus"
"idalion_5th_5.JPG","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus"
"idlion_6th_15.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus"
"levant_5-4c_23.jpg","-500:-300","Achaemenid","Phoenician","Levant","Lebanon"
"levant_5c_43.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon"
"levant_6th_15.jpg","-600:-400","Achaemenid","Phoenician","Levant","Lebanon"
"levant_9c_10.jpg","-900:-800","Iron Age","Neo-Hittite","Levant","Lebanon"
"levant_9c_11.jpg","-900:-800","Iron Age","Neo-Hittite","Levant","Lebanon"
"neo_assyrian1.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"neo_assyrian2.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"neo_assyrian3.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"neo_assyrian4.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"neo_assyrian5.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"neo_assyrian6.jpg","-900:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq"
"phoenician_4_1.jpg","-400:-300","Achaemenid","Phoenician","Levant","Lebanon"
"phoenician_4_2.jpg","-400:-300","Achaemenid","Phoenician","Levant","Lebanon"
"phoenician_5_1.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon"
"phoenician_5_2.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon"
"phoenician_5_3.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon"
"phoenician_5_4_1.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon"
"phoenician_5_4_2.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon"
"phoenician_5_5_1.jpg","-500:-400","Achaemenid","Phoenician","Levant","Lebanon"
"phonecian_5_3c_5.jpg","-500:-300","Achaemenid","Phoenician","Levant","Lebanon"
"phonecian_5_3c_6.jpg","-500:-300","Achaemenid","Phoenician","Levant","Lebanon"
"urartu_8_7_2.jpg","-800:-700","Iron Age","Urartian","Anatolia","Turkey"
"egypt_7c_10.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt"
"egypt_6c_11.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_6c_12.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_7c_12.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt"
"egypt_6c_12.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_6c_21.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_9_8c_15.jpg","-900:-800","Third Intermediate","Egyptian","Egypt","Egypt"
"egypt_6c_20.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_7c_31.jpg","-700:-600","Saite Period","Egyptian","Egypt","Egypt"
"egypt_6c_35.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
"egypt_6c_36.jpg","-600:-500","Saite Period","Egyptian","Egypt","Egypt"
