Point 1,Point 2,Median Value,Standard Deviation
Cyprus,Cyprus,0.62,0.06
Cyprus,Lebanon,0.61,0.08
Greece,Lebanon,0.57,0.11
Cyprus,Greece,0.59,0.06
Iraq,Iraq,0.55,0.07
Cyprus,Iraq,0.59,0.05
Iran,Egypt,0.65,0.0
Greece,Greece,0.55,0.05
Lebanon,Lebanon,0.64,0.09
Iran,Lebanon,0.6,0.03
Iran,Cyprus,0.62,0.0
Iraq,Cyprus,0.59,0.02
Cyprus,Egypt,0.56,0.04
Egypt,Greece,0.59,0.02
Iran,Iraq,0.53,0.04
Egypt,Egypt,0.57,0.0
Iraq,Egypt,0.56,0.0
Egypt,Iraq,0.56,0.0
Egypt,Lebanon,0.55,0.0
Iraq,Lebanon,0.55,0.0
Iran,Greece,0.55,0.0
