Point 1,Point 2,Median Value,Standard Deviation
Cyprus,Cyprus,0.54,0.05
Greece,Lebanon,0.529,0.07
Greece,Greece,0.532,0.06
Cyprus,Lebanon,0.522,0.05
Iran,Lebanon,0.53,0.06
Lebanon,Lebanon,0.532,0.06
Iraq,Iraq,0.518,0.05
Iran,Iraq,0.532,0.04
Iran,Iran,0.515,0.05
Iran,Greece,0.532,0.06
Iran,Cyprus,0.53,0.05
Egypt,Egypt,0.548,0.04
Egypt,Lebanon,0.53,0.05
Turkey,Turkey,0.528,0.03
Iran,Egypt,0.54,0.04
Iran,Turkey,0.549,0.03
Egypt,Greece,0.546,0.04
Turkey,Iraq,0.531,0.03
Egypt,Turkey,0.528,0.03
Turkey,Cyprus,0.53,0.04
Turkey,Lebanon,0.518,0.04
Greece,Turkey,0.525,0.03
Egypt,Iraq,0.522,0.04
Cyprus,Iraq,0.525,0.04
Egypt,Cyprus,0.542,0.04
Iraq,Lebanon,0.512,0.05
Iraq,Greece,0.522,0.05
Cyprus,Greece,0.54,0.05
