Similarity,File 1,File 2,Time 1,Time 1 End,Period 1,Culture 1,Region 1,Time 2,Time 2 End,Period 2,Culture 2,Region 2
0.79296875,cypriot_6th_8,idlion_6th_15,-600,500,Neo-Babylonian,Cypriot,Cyprus,-600,500,Neo-Babylonian,Cypriot,Cyprus
0.73046875,cyprus_5th_8,phoenician_5_2,-500,400,Achaemenid,Cypriot,Cyprus,-500,400,Achaemenid,Phoenician,Levant
0.73046875,greek4-14,phoenician_5_2,-400,300,Hellenistic,Greek,Aegean,-500,400,Achaemenid,Phoenician,Levant
0.7265625,cyprus_4th_2,greek4-14,-400,300,Achaemenid,Cypriot,Cyprus,-400,300,Hellenistic,Greek,Aegean
0.6953125,assyria8c_1,neo_assyrian5,-700,600,Neo-Assyrian,Assyrian,Mesopotamia,-900,600,Neo-Assyrian,Assyrian,Mesopotamia
0.69140625,cyprus_4th_2,greek5th_6,-400,300,Achaemenid,Cypriot,Cyprus,-500,400,Hellenistic,Greek,Aegean
0.6875,cyprus_7-6th_BC-5,phoenician_5_4_1,-700,600,Neo-Assyrian,Cypriot,Cyprus,-500,400,Achaemenid,Phoenician,Levant
0.6796875,cyprus_4th_c_4,levant_5c_43,-400,300,Achaemenid,Cypriot,Cyprus,-500,400,Achaemenid,Phoenician,Levant
0.67578125,cypriot_6th_10,cyprus_6th_c_21,-600,500,Neo-Babylonian,Cypriot,Cyprus,-600,500,Neo-Babylonian,Cypriot,Cyprus
0.67578125,cyprus_4th_2,phoenician_5_2,-400,300,Achaemenid,Cypriot,Cyprus,-500,400,Achaemenid,Phoenician,Levant
0.66015625,cyprus_4th_8,greek4-14,-400,300,Achaemenid,Cypriot,Cyprus,-400,300,Hellenistic,Greek,Aegean
0.65625,cypriot_6th_10,levant_5c_43,-600,500,Neo-Babylonian,Cypriot,Cyprus,-500,400,Achaemenid,Phoenician,Levant
0.65625,assyria7c11,neo_assyrian6,-700,600,Neo-Assyrian,Assyrian,Mesopotamia,-900,600,Neo-Assyrian,Assyrian,Mesopotamia
0.65234375,cypriot_5th,neo_assyrian4,-500,400,Achaemenid,Cypriot,Cyprus,-900,600,Neo-Assyrian,Assyrian,Mesopotamia
0.6484375,cypriot-5thcentury_3,neo_assyrian5,-500,400,Achaemenid,Cypriot,Cyprus,-900,600,Neo-Assyrian,Assyrian,Mesopotamia
0.6484375,cyprus_5th_8,greek4-14,-500,400,Achaemenid,Cypriot,Cyprus,-400,300,Hellenistic,Greek,Aegean
0.6484375,achaemenid_1,egypt_6thc_14,-500,400,Achaemenid,Achaemenid,Iran,-600,500,Saite Period,Egyptian,Egypt
0.64453125,greek4-14,greek5th_6,-400,300,Hellenistic,Greek,Aegean,-500,400,Hellenistic,Greek,Aegean
0.64453125,cyprus_7-6th_BC-5,idlion_6th_15,-700,600,Neo-Assyrian,Cypriot,Cyprus,-600,500,Neo-Babylonian,Cypriot,Cyprus
0.640625,phoenician_5_2,phoenician_5_3,-500,400,Achaemenid,Phoenician,Levant,-500,400,Achaemenid,Phoenician,Levant
0.640625,achaemenid_1,phoenician_5_2,-500,400,Achaemenid,Achaemenid,Iran,-500,400,Achaemenid,Phoenician,Levant
0.63671875,phoenician_4_1,phoenician_5_4_2,-400,300,Achaemenid,Phoenician,Levant,-500,400,Achaemenid,Phoenician,Levant
0.62890625,cyprus_6th_c_21,phoenician_5_4_1,-600,500,Neo-Babylonian,Cypriot,Cyprus,-500,400,Achaemenid,Phoenician,Levant
0.625,cyprus_6th_c_21,phonecian_5_3c_5,-600,500,Neo-Babylonian,Cypriot,Cyprus,-500,300,Achaemenid,Phoenician,Levant
0.625,cypriot_6th_8.png,cyprus_5th_15,-600,500,Neo-Babylonian,Cypriot,Cyprus,-500,400,Achaemenid,Cypriot,Cyprus
0.625,achaemenid4,idalion_2_6thCentury,-500,400,Achaemenid,Achaemenid,Iran,-600,500,Neo-Babylonian,Cypriot,Cyprus
0.6171875,cyprus_4th_2,cyprus_5th_8,-400,300,Achaemenid,Cypriot,Cyprus,-500,400,Achaemenid,Cypriot,Cyprus
0.6171875,achaemenid4,levant_5c_43,-500,400,Achaemenid,Achaemenid,Iran,-500,400,Achaemenid,Phoenician,Levant
