"File","Time","Period","Culture","Region","Modern Country","Source"
"achaemenid_1.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran","Iran National Museum"
"achaemenid2.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran","Miho Museum"
"achaemenid3.jpg","-550:-450","Achaemenid","Achaemenid","Iran","Iran","Iran National Museum"
"achaemenid4.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran","Persepolis"
"achaemenid5.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran","Iran National Museum"
"achaemenid6.jpg","-500:-400","Achaemenid","Achaemenid","Iran","Iran","Iran National Museum"
"amorite_1.jpg","-1800:-1600","Middle Bronze Age","Amorite","Levant","Lebanon","Louvre Museum"
"anatolia_14_3.jpg""","-1400:-1300","Late Bronze","Hittite","Anatolia","Turkey","Museum of Anatolian Civilizations"
"anatolia_1c_1.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey","Mount Nemrut"
"anatolia_1c_11.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey","Mount Nemrut"
"anatolia_1c_2.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey","Mount Nemrut"
"anatolia_1c_3.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey","Mount Nemrut"
"anatolia_1c_7.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey","Mount Nemrut"
"anatolia_8_7_1.jpg","-800:-700","Iron Age","Urartian","Anatolia","Turkey","Hermitage Museum"
"assyria_8c_22.jpg","-800:-700","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","Louvre Museum"
"assyria7c10.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"assyria7c11.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"assyria7c9.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"assyria8c_1.jpg","-800:-700","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","Oriental Institute "
"assyria9th_1.jpg","-900:-800","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"assyria9thc3.jpg","-900:-800","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"assyrian_1.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"assyrian3.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"assyrian4.jpg","-700:-600","Neo-Assyrian","Assyrian","Mesopotamia","Iraq","British Museum"
"canaanite_1.jpg","-1400:-1200","Late Bronze","Canaanite","Levant","Lebanon","Louvre Museum"
"canaanite_61.jpg","-1400:-1200","Late Bronze","Canaanite","Levant","Lebanon","Institut du Monde Arabe"
"cleobis_1.jpg","-600:-500","Archaic","Greek","Aegean","Greece","Delphi Archaeological Museum"
"cleobis_2.jpg","-600:-500","Archaic","Greek","Aegean","Greece","Delphi Archaeological Museum"
"cypriot_5th_3.JPG","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","British Museum"
"cypriot_5th_4.JPG","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","British Museum"
"cypriot_5th.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","Ashmolean Museum"
"cypriot_6th_10.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cypriot_6th_7.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cypriot_6th_8.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","British Museum"
"cypriot_6th_8.png","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cypriot_7th_6th_9.jpg","-700:600","Neo-Assyrian","Cypriot","Cyprus","Cyprus","New Museum, Berlin"
"cypriot_hellenistic_1.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus","British Museum"
"cypriot_hellenistic_2.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus","British Museum"
"cypriot-5thcentury_3.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","Ashmolean Museum"
"cypro_6th_centuryBC1.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","British Museum"
"cypro_7th_centuryBC1.jpg","-700:-600","Neo-Assyrian","Cypriot","Cyprus","Cyprus","British Museum"
"cyprus_1st_bc_3.jpg","-100:0","Roman","Cypriot","Cyprus","Cyprus","Getty Museum"
"cyprus_2_1_66.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Istanbul Museum"
"cyprus_2_67.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Cyprus Museum"
"cyprus_2_68.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Cyprus Museum"
"cyprus_2nd_13.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Cyprus Museum"
"cyprus_2nd_4.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_3_77.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Jona Lendering. Museum"
"cyprus_3-1_2.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_3rd_8.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus","British Museum"
"cyprus_3rd_9.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_4th_2.jpeg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_4th_8.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_4th_c_3.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus","British Museum"
"cyprus_4th_c_4.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus","British Museum"
"cyprus_5th_15.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","National Museum of Antiquities, Leiden"
"cyprus_5th_8.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","Cyprus Museum"
"cyprus_6-_44.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Museum of Art History, Vienna"
"cyprus_6-5c_43.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_6th_13.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_6th_c_21.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus","Metropolitan Museum"
"cyprus_7-6th_BC-5.jpg","-700:-600","Neo-Assyrian","Cypriot","Cyprus","Cyprus","British Museum"
"cyprus_roman_15.jpg","-100:200","Roman","Cypriot","Cyprus","Cyprus","Santa Barbara Museum of Art"
"cyrpus_5th_12.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus","Cyprus Museum"
"diayla_9.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala53.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala54.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala55.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"Diyala56.jpg","-2700:-2500","Early Dynastic","Sumerian","Mesopotamia","Iraq","Oriental Institute "
"ebla11.jpg","-2600:-2400","Early Bronze Age","Ebla","Levant","Lebanon","National Museum of Damascus "
"ebla5.jpg","-2600:-2400","Early Bronze Age","Ebla","Levant","Lebanon","National Museum of Damascus "
"egypt_12d_9.jpg","-1900:-1800","Middle Kingdom","Egyptian","Egypt","Egypt","New Museum, Berlin"
"egypt_12dynasty_7.jpg","-2000:-1800","Middle Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_12thC_19.jpg","-1200:-1100","New Kingdom","Egyptian","Egypt","Egypt","Metropolitan Museum"
"egypt_13th_century.jpg","-1300:-1200","Middle Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_18_34.jpg","-1500:-1400","New Kingdom","Egyptian","Egypt","Egypt","New Museum, Berlin"
"egypt_18d_44.jpg","-1500:-1400","New Kingdom","Egyptian","Egypt","Egypt","Luxor Museum"
"egypt_18d_61.jpg","-1500:-1400","New Kingdom","Egyptian","Egypt","Egypt","Museum of Art History, Vienna"
"egypt_18th_1.jpg","-1600:-1300","New Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_18th_dynasty7_1.jpg","-1600:-1300","New Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_19_5.jpg","-1300:-1200","New Kingdom","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_19th_dynasty_2.jpg","-1300:-1200","New Kingdom","Egyptian","Egypt","Egypt","British Museum"
"egypt_1c_bc_6.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt","British Museum"
"egypt_1st_2.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt","Vatican Museum"
"egypt_1st_3.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt","British Museum"
"egypt_22_3.jpg","-1000:-700","Third Intermediate","Egyptian","Egypt","Egypt","Museum of Egyptian Antiquities"
"egypt_26th_dynasty1.jpg","-700:-500","Saite Period","Egyptian","Egypt","Egypt","British Museum"
"egypt_2c_8.jpg","-200:-100","Hellenistic","Egyptian","Egypt","Egypt","State Museum of Egyptian Art, Munich"
