Similarity_Total,File 1,File 2,Time 1,Period 1,Culture 1,Time 2,Period 2,Culture 2
0.849999999999996,cyprus_3rd_8.jpg,cyprus_4th_c_4.jpg,300:100,Hellenistic,Cypriot,400:300,Achaemenid,Cypriot
0.840000000000003,cypriot_6th_8.jpg,idlion_6th_15.jpg,600:500,Neo-Babylonian,Cypriot,600:500,Neo-Babylonian,Cypriot
0.8000000000000042,egypt_3rdcentury_BC_67.jpg,greek2nd_4.jpg,300:200,Hellenistic,Greco-Egyptian,200:100,Hellenistic,Greek
0.8000000000000042,cyprus_6th_c_21.jpg,ptolemaic_2.jpg,600:500,Neo-Babylonian,Cypriot,200:100,Hellenistic,Greco-Egyptian
0.7899999999999978,egypt_13th_century.jpg,egypt_26th_dynasty1.jpg,1800:1600,Middle Kingdom,Egyptian,700:500,Saite Period,Egyptian
0.7899999999999978,egypt_12dynasty_7.jpg,new_kingdom_egypt2.jpg,2000:1800,Middle Kingdom,Egyptian,1300:1200,New Kingdom,Egyptian
0.780000000000001,cyprus_6th_c_21.jpg,egypt_22_3.jpg,600:500,Neo-Babylonian,Cypriot,1000:700,Third Intermediate,Egyptian
0.780000000000001,cyprus_4th_c_4.jpg,egypt_13th_century.jpg,400:300,Achaemenid,Cypriot,1800:1600,Middle Kingdom,Egyptian
0.780000000000001,cyprus_6th_c_21.jpg,cyprus_roman_15.jpg,600:500,Neo-Babylonian,Cypriot,100:0,Roman,Cypriot
0.7700000000000039,achaemenid4.jpg,egypt_3rdcentury_BC_67.jpg,500:400,Achaemenid,Achaemenid,300:200,Hellenistic,Greco-Egyptian
0.7700000000000039,achaemenid_1.jpg,assyrian4.jpg,500:400,Achaemenid,Achaemenid,700:600,Neo-Assyrian,Assyrian
0.7700000000000039,cypriot_6th_10.jpeg,egypt_22_3.jpg,600:500,Neo-Babylonian,Cypriot,1000:700,Third Intermediate,Egyptian
0.7700000000000039,achaemenid4.jpg,cyprus_4th_8.jpg,500:400,Achaemenid,Achaemenid,400:300,Achaemenid,Cypriot
0.7700000000000039,cyprus_2nd_4.jpg,cyprus_6th_c_21.jpg,200:100,Hellenistic,Cypriot,600:500,Neo-Babylonian,Cypriot
0.7599999999999972,cypriot_6th_10.jpeg,cypriot_6th_8.jpg,600:500,Neo-Babylonian,Cypriot,600:500,Neo-Babylonian,Cypriot
0.7599999999999972,cypriot_6th_7.jpg,egypt_5th_dynasty1.jpg,600:500,Neo-Babylonian,Cypriot,2500:2300,Old Kingdom,Egyptian
0.75,cyprus_2nd_4.jpg,ptolemaic_2.jpg,200:100,Hellenistic,Cypriot,200:100,Hellenistic,Greco-Egyptian
0.75,cyprus_5th_8.jpg,egypt_3rd_10.jpg,500:400,Achaemenid,Cypriot,300:200,Hellenistic,Greco-Egyptian
0.75,cyprus_4th_c_4.jpg,egypt_26th_dynasty1.jpg,400:300,Achaemenid,Cypriot,700:500,Saite Period,Egyptian
0.75,egypt_12dynasty_7.jpg,egypt_3rdcentury_BC_67.jpg,2000:1800,Middle Kingdom,Egyptian,300:200,Hellenistic,Greco-Egyptian
0.75,cyprus_5th_8.jpg,egypt_3rdcentury_BC_67.jpg,500:400,Achaemenid,Cypriot,300:200,Hellenistic,Greco-Egyptian
0.75,achaemenid6.jpg,cyprus_2nd_13.jpg,500:400,Achaemenid,Achaemenid,200:100,Hellenistic,Cypriot
0.75,achaemenid2.jpg,achaemenid4.jpg,500:400,Achaemenid,Achaemenid,500:400,Achaemenid,Achaemenid
0.75,egypt_13th_century.jpg,egypt_19_5.jpg,1800:1600,Middle Kingdom,Egyptian,1300:1200,New Kingdom,Egyptian
0.7400000000000025,achaemenid4.jpg,egypt_12dynasty_7.jpg,500:400,Achaemenid,Achaemenid,2000:1800,Middle Kingdom,Egyptian
0.7400000000000025,egypt_13th_century.jpg,neo_assyrian4.jpg,1800:1600,Middle Kingdom,Egyptian,900:600,Neo-Assyrian,Assyrian
0.7400000000000025,cyprus_3rd_8.jpg,egypt_26th_dynasty1.jpg,300:100,Hellenistic,Cypriot,700:500,Saite Period,Egyptian
0.7400000000000025,achaemenid5.jpg,phoenician_4_2.jpg,500:400,Achaemenid,Achaemenid,400:300,Achaemenid,Phoenician
0.7400000000000025,cyprus_roman_15.jpg,ptolemaic_2.jpg,100:0,Roman,Cypriot,200:100,Hellenistic,Greco-Egyptian
0.7400000000000025,achaemenid4.jpg,achaemenid6.jpg,500:400,Achaemenid,Achaemenid,500:400,Achaemenid,Achaemenid
0.7400000000000025,egypt_3rd_12.jpg,greek4th_1.jpg,300:200,Hellenistic,Greco-Egyptian,400:300,Hellenistic,Greek
0.7299999999999965,cyprus_4th_8.jpg,cyprus_5th_8.jpg,400:300,Achaemenid,Cypriot,500:400,Achaemenid,Cypriot
0.7299999999999965,cyprus_4th_8.jpg,phoenician_5_2.jpg,400:300,Achaemenid,Cypriot,500:400,Achaemenid,Phoenician
