"Similarity","File 1","File 2","Time 1","Time 1 End","Period 1","Culture 1","Region 1","Time 2","Time 2 End","Period 2","Culture 2","Region 2"
0.7925,"cyprus_3rd_8","cyprus_4th_c_4",-300,-100,"Hellenistic","Cypriot","Cyprus",-400,-300,"Achaemenid","Cypriot","Cyprus"
0.7425,"cyprus_roman_15","greek4-14",-100,200,"Roman","Cypriot","Cyprus",-400,-300,"Hellenistic","Greek","Aegean"
0.7325,"Palmyra39_male","cyprus_2nd_13",-100,300,"Roman","Palmyrian","Mesopotamia",-200,-100,"Hellenistic","Cypriot","Cyprus"
0.73,"Palmyra47","levant_5c_43",-100,300,"Roman","Palmyrian","Mesopotamia",-500,-400,"Achaemenid","Phoenician","Levant"
0.7275,"egypt_13th_century","egypt_6c_21",-1300,-1200,"Middle Kingdom","Egyptian","Egypt",-600,-500,"Saite Period","Egyptian","Egypt"
0.725,"cyprus_2nd_13","cyprus_4th_c_4",-200,-100,"Hellenistic","Cypriot","Cyprus",-400,-300,"Achaemenid","Cypriot","Cyprus"
0.7225,"cyprus_4th_c_4","egypt_6c_21",-400,-300,"Achaemenid","Cypriot","Cyprus",-600,-500,"Saite Period","Egyptian","Egypt"
0.72,"cypriot_6th_8","idlion_6th_15",-600,-500,"Neo-Babylonian","Cypriot","Cyprus",-600,-500,"Neo-Babylonian","Cypriot","Cyprus"
0.72,"cyprus_4th_c_4","cyprus_roman_15",-400,-300,"Achaemenid","Cypriot","Cyprus",-100,200,"Roman","Cypriot","Cyprus"
0.72,"Palmyra30","Palmyra47",-100,300,"Roman","Palmyrian","Mesopotamia",-100,300,"Roman","Palmyrian","Mesopotamia"
0.72,"Palmyra39_male","Palmyra47",-100,300,"Roman","Palmyrian","Mesopotamia",-100,300,"Roman","Palmyrian","Mesopotamia"
0.72,"egypt3rd_9","levant_5c_43",-300,-200,"Hellenistic","Egyptian","Egypt",-500,-400,"Achaemenid","Phoenician","Levant"
0.7175,"Palmyra47","cyprus_2nd_13",-100,300,"Roman","Palmyrian","Mesopotamia",-200,-100,"Hellenistic","Cypriot","Cyprus"
0.7175,"egypt_18th_1","egypt_6c_21",-1600,-1300,"New Kingdom","Egyptian","Egypt",-600,-500,"Saite Period","Egyptian","Egypt"
0.715,"Palmyra25","Palmyra47",-100,300,"Roman","Palmyrian","Mesopotamia",-100,300,"Roman","Palmyrian","Mesopotamia"
0.7125,"cyprus_2nd_13","egypt_6c_21",-200,-100,"Hellenistic","Cypriot","Cyprus",-600,-500,"Saite Period","Egyptian","Egypt"
0.7125,"Palmyra25","Palmyra49",-100,300,"Roman","Palmyrian","Mesopotamia",-100,300,"Roman","Palmyrian","Mesopotamia"
