"File","Time","Period","Culture","Region","Modern Country"
"anatolia_1c_3.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey"
"anatolia_1c_2.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey"
"anatolia_1c_1.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey"
"anatolia_1c_11.jpg","-100:0","Seleucid","Armenian","Anatolia","Turkey"
"cypriot_hellenistic_1.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cypriot_hellenistic_2.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_1st_bc_3.jpg","-100:0","Roman","Cypriot","Cyprus","Cyprus"
"cyprus_2_1_66.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_2_67.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_2_68.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_2nd_13.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_2nd_4.jpg","-200:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_3_77.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_3-1_2.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_3rd_8.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_3rd_9.jpg","-300:-100","Hellenistic","Cypriot","Cyprus","Cyprus"
"cyprus_roman_15.jpg","-100:200","Roman","Cypriot","Cyprus","Cyprus"
"egypt_2c_8.jpg","-200:-100","Hellenistic","Egyptian","Egypt","Egypt"
"egypt_1c_bc_6.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt"
"egypt_1st_2.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt"
"egypt_1st_3.jpg","-100:300","Roman","Roman-Egyptian","Egypt","Egypt"
