Point 1,Point 2,Median Value,Standard Deviation
Iraq,Iraq,0.598,0.06
Iraq,Cyprus,0.593,0.04
Cyprus,Cyprus,0.578,0.05
Iraq,Greece,0.575,0.04
Cyprus,Egypt,0.545,0.04
Iraq,Egypt,0.565,0.05
Cyprus,Pakistan,0.547,0.04
Iraq,Pakistan,0.551,0.04
Cyprus,Greece,0.548,0.04
Greece,Greece,0.537,0.04
Pakistan,Pakistan,0.544,0.03
Pakistan,Greece,0.54,0.03
Egypt,Iran,0.551,0.03
Turkey,Greece,0.517,0.03
Pakistan,Iran,0.512,0.02
Egypt,Egypt,0.532,0.02
Turkey,Pakistan,0.524,0.02
Turkey,Egypt,0.52,0.02
Turkey,Cyprus,0.529,0.02
Iraq,Turkey,0.503,0.03
Egypt,Greece,0.539,0.03
Greece,Iran,0.502,0.0
Cyprus,Iran,0.495,0.0
Pakistan,Egypt,0.546,0.03
