Similarity,File 1,File 2,Time 1,Time 1 End,Period 1,Culture 1,Region 1,Time 2,Time 2 End,Period 2,Culture 2,Region 2
0.7325,Palmyra39_male,cyprus_2nd_13,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Cypriot,Cyprus
0.72,Palmyra30,Palmyra47,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.72,Palmyra39_male,Palmyra47,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.7175,Palmyra47,cyprus_2nd_13,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Cypriot,Cyprus
0.715,Palmyra25,Palmyra47,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.7125,Palmyra47,Palmyra49,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.7125,Palmyra25,Palmyra49,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.71,Palmyra47,cyprus_3rd_8,-100,300,Roman,Palmyrian,Mesopotamia,-300,-100,Hellenistic,Cypriot,Cyprus
0.71,Palmyra30,Palmyra39_male,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.7075,Palmyra25,cyprus_2nd_13,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Cypriot,Cyprus
0.7075,Palmyra46,greek4-14,-100,300,Roman,Palmyrian,Mesopotamia,-400,-300,Hellenistic,Greek,Aegean
0.705,cyprus_2nd_4,cyprus_3rd_8,-200,-100,Hellenistic,Cypriot,Cyprus,-300,-100,Hellenistic,Cypriot,Cyprus
0.7025,cyprus_2nd_13,cyprus_2nd_4,-200,-100,Hellenistic,Cypriot,Cyprus,-200,-100,Hellenistic,Cypriot,Cyprus
0.7,gandhara1,ptolemaic_2,100,200,Kushan,Kushan,Gandhara,-200,-100,Hellenistic,Greco-Egyptian,Egypt
0.6975,cyprus_roman_15,greek4-14,-100,200,Roman,Cypriot,Cyprus,-400,-300,Hellenistic,Greek,Aegean
0.6975,Palmyra39_male,cyprus_roman_15,-100,300,Roman,Palmyrian,Mesopotamia,-100,200,Roman,Cypriot,Cyprus
0.695,Palmyra47,greek4-14,-100,300,Roman,Palmyrian,Mesopotamia,-400,-300,Hellenistic,Greek,Aegean
0.695,Palmyra25,Palmyra30,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.6925,Palmyra47,gandhara11,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.6925,Palmyra38,Palmyra49,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.69,Palmyra30,greek4-14,-100,300,Roman,Palmyrian,Mesopotamia,-400,-300,Hellenistic,Greek,Aegean
0.69,Palmyra47,egypt_3rdcentury_BC_67,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greco-Egyptian,Egypt
0.69,Palmyra39_male,greek4-14,-100,300,Roman,Palmyrian,Mesopotamia,-400,-300,Hellenistic,Greek,Aegean
0.6875,Palmyra39_male,gandhara11,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.685,Palmyra46,cyprus_roman_15,-100,300,Roman,Palmyrian,Mesopotamia,-100,200,Roman,Cypriot,Cyprus
0.6825,cyprus_2nd_13,cyprus_3rd_8,-200,-100,Hellenistic,Cypriot,Cyprus,-300,-100,Hellenistic,Cypriot,Cyprus
0.6825,Palmyra30,cyprus_2nd_13,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Cypriot,Cyprus
0.6825,Palmyra47,cyprus_roman_15,-100,300,Roman,Palmyrian,Mesopotamia,-100,200,Roman,Cypriot,Cyprus
0.68,gandhara11,gandhara6,100,200,Kushan,Kushan,Gandhara,100,200,Kushan,Kushan,Gandhara
0.68,Palmyra38,Palmyra47,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.68,Palmyra25,egypt_3rdcentury_BC_67,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greco-Egyptian,Egypt
0.68,cyprus_roman_15,gandhara11,-100,200,Roman,Cypriot,Cyprus,100,200,Kushan,Kushan,Gandhara
0.6775,Palmyra30,gandhara11,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.675,Palmyra25,Palmyra39_male,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.675,Palmyra39_male,egypt_3rdcentury_BC_67,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greco-Egyptian,Egypt
0.675,gandhara1,gandhara11,100,200,Kushan,Kushan,Gandhara,100,200,Kushan,Kushan,Gandhara
0.675,Palmyra49,cyprus_2nd_13,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Cypriot,Cyprus
0.6725,Palmyra46,greek3rc3,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greek,Aegean
0.6725,Palmyra46,Palmyra47,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.6725,Palmyra47,ptolemaic_2,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Greco-Egyptian,Egypt
0.6725,Palmyra39_male,ptolemaic_2,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Greco-Egyptian,Egypt
0.67,Palmyra38,Palmyra39_male,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.67,Palmyra25,gandhara16,-100,300,Roman,Palmyrian,Mesopotamia,200,300,Kushan,Kushan,Gandhara
0.67,Palmyra25,egypt_1st_2,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Roman-Egyptian,Egypt
0.6675,Palmyra30,Palmyra49,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.6675,Palmyra39_male,cypriot_hellenistic_1,-100,300,Roman,Palmyrian,Mesopotamia,-300,-100,Hellenistic,Cypriot,Cyprus
0.6675,Palmyra39_male,Palmyra49,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.665,Palmyra25,greek4-14,-100,300,Roman,Palmyrian,Mesopotamia,-400,-300,Hellenistic,Greek,Aegean
0.665,egypt_1st_2,greek4-14,-100,300,Roman,Roman-Egyptian,Egypt,-400,-300,Hellenistic,Greek,Aegean
0.665,Palmyra39_male,cyprus_2nd_4,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Cypriot,Cyprus
0.665,greek3rc4,greek4-14,-300,-200,Hellenistic,Greek,Aegean,-400,-300,Hellenistic,Greek,Aegean
0.6625,Palmyra46,greek3rc4,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greek,Aegean
0.6625,cyprus_roman_15,greek3rc3,-100,200,Roman,Cypriot,Cyprus,-300,-200,Hellenistic,Greek,Aegean
0.6625,Palmyra30,gandhara1,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.6625,cyprus_2nd_4,gandhara4,-200,-100,Hellenistic,Cypriot,Cyprus,100,200,Kushan,Kushan,Gandhara
0.6625,Palmyra30,cyprus_roman_15,-100,300,Roman,Palmyrian,Mesopotamia,-100,200,Roman,Cypriot,Cyprus
0.66,Palmyra30,egypt_1st_2,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Roman-Egyptian,Egypt
0.66,cyprus_3rd_8,greek4-14,-300,-100,Hellenistic,Cypriot,Cyprus,-400,-300,Hellenistic,Greek,Aegean
0.66,Palmyra47,egypt_1st_2,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Roman-Egyptian,Egypt
0.66,Palmyra48,greek3rc3,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greek,Aegean
0.6575,gandhara16,gandhara5,200,300,Kushan,Kushan,Gandhara,100,200,Kushan,Kushan,Gandhara
0.6575,Palmyra25,gandhara11,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.6575,Palmyra49,egypt_3rdcentury_BC_67,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greco-Egyptian,Egypt
0.6575,Palmyra46,egypt_3rdcentury_BC_67,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greco-Egyptian,Egypt
0.6575,Palmyra38,ptolemaic_2,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Greco-Egyptian,Egypt
0.6575,gandhara11,gandhara16,100,200,Kushan,Kushan,Gandhara,200,300,Kushan,Kushan,Gandhara
0.6575,cyprus_2nd_13,egypt_1st_2,-200,-100,Hellenistic,Cypriot,Cyprus,-100,300,Roman,Roman-Egyptian,Egypt
0.6575,Palmyra47,gandhara1,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.6575,cypriot_hellenistic_1,greek4-14,-300,-100,Hellenistic,Cypriot,Cyprus,-400,-300,Hellenistic,Greek,Aegean
0.655,cyprus_2nd_13,cyprus_roman_15,-200,-100,Hellenistic,Cypriot,Cyprus,-100,200,Roman,Cypriot,Cyprus
0.655,Palmyra30,egypt_3rdcentury_BC_67,-100,300,Roman,Palmyrian,Mesopotamia,-300,-200,Hellenistic,Greco-Egyptian,Egypt
0.655,cyprus_2nd_13,gandhara5,-200,-100,Hellenistic,Cypriot,Cyprus,100,200,Kushan,Kushan,Gandhara
0.655,Palmyra25,Palmyra38,-100,300,Roman,Palmyrian,Mesopotamia,-100,300,Roman,Palmyrian,Mesopotamia
0.6525,Palmyra39_male,gandhara1,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.6525,cyprus_3rd_8,gandhara4,-300,-100,Hellenistic,Cypriot,Cyprus,100,200,Kushan,Kushan,Gandhara
0.6525,egypt_3rd_12,gandhara4,-300,-200,Hellenistic,Greco-Egyptian,Egypt,100,200,Kushan,Kushan,Gandhara
0.6525,cyprus_2nd_13,greek4-14,-200,-100,Hellenistic,Cypriot,Cyprus,-400,-300,Hellenistic,Greek,Aegean
0.6525,Palmyra47,greek4_5,-100,300,Roman,Palmyrian,Mesopotamia,-400,-100,Hellenistic,Greek,Aegean
0.6525,cyprus_2nd_4,ptolemaic_2,-200,-100,Hellenistic,Cypriot,Cyprus,-200,-100,Hellenistic,Greco-Egyptian,Egypt
0.6525,Palmyra47,greek2nd_4,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Greek,Aegean
0.6525,cyprus_2nd_13,egypt_3rdcentury_BC_67,-200,-100,Hellenistic,Cypriot,Cyprus,-300,-200,Hellenistic,Greco-Egyptian,Egypt
0.65,cyprus_2nd_13,greek2nd_4,-200,-100,Hellenistic,Cypriot,Cyprus,-200,-100,Hellenistic,Greek,Aegean
0.65,Palmyra47,cyprus_2nd_4,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Cypriot,Cyprus
0.65,Palmyra49,greek2nd_4,-100,300,Roman,Palmyrian,Mesopotamia,-200,-100,Hellenistic,Greek,Aegean
0.65,greek3rc3,greek4-14,-300,-200,Hellenistic,Greek,Aegean,-400,-300,Hellenistic,Greek,Aegean
0.6475,Palmyra25,greek4_5,-100,300,Roman,Palmyrian,Mesopotamia,-400,-100,Hellenistic,Greek,Aegean
0.6475,cyprus_roman_15,greek3rc4,-100,200,Roman,Cypriot,Cyprus,-300,-200,Hellenistic,Greek,Aegean
0.6475,Palmyra25,gandhara1,-100,300,Roman,Palmyrian,Mesopotamia,100,200,Kushan,Kushan,Gandhara
0.645,egypt_1st_3,greek2nd_4,-100,300,Roman,Roman-Egyptian,Egypt,-200,-100,Hellenistic,Greek,Aegean
