Similarity,File 1,File 2,Time 1,Time 1 End,Period 1,Culture 1,Region 1,Time 2,Time 2 End,Period 2,Culture 2,Region 2
0.6766666666666666,greece_27_2200BCE6,greece_27_2300BCE4,-2700,-2200,Cycladic,Cyclades,Aegean,-2700,-2300,Cycladic,Cyclades,Aegean
0.6688888888888889,egypt_18d_44,ramsesII,-1500,-1400,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.6488888888888888,egypt_12thC_19,egypt_18d_44,-1200,-1100,New Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.6433333333333333,egypt_13th_century,egypt_19_5,-1300,-1200,Middle Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.6422222222222222,egypt13c_3,egypt_18d_44,-1300,-1200,New Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.6411111111111111,egypt_18_34,egypt_18d_44,-1500,-1400,New Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.6377777777777778,egypt13c_3,ramsesII,-1300,-1200,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.6355555555555555,egypt5d_31,egypt_4thd_15,-2600,-2400,Old Kingdom,Egyptian,Egypt,-2600,-2500,Old Kingdom,Egyptian,Egypt
0.6344444444444445,egypt_18th_1,egypt_4thd_15,-1600,-1300,New Kingdom,Egyptian,Egypt,-2600,-2500,Old Kingdom,Egyptian,Egypt
0.6322222222222222,egypt_18d_61,thutmosesIII-1,-1500,-1400,New Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.6311111111111111,egypt5d_31,egypt_18d_61,-2600,-2400,Old Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.62,egypt_13th_century,egypt_4thd_15,-1300,-1200,Middle Kingdom,Egyptian,Egypt,-2600,-2500,Old Kingdom,Egyptian,Egypt
0.62,greece_27_2200BCE6,greece_27_2500BCE1,-2700,-2200,Cycladic,Cyclades,Aegean,-2700,-2500,Cycladic,Cyclades,Aegean
0.6188888888888889,egypt19thc_4,egypt_12d_9,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-1900,-1800,Middle Kingdom,Egyptian,Egypt
0.6188888888888889,greece_27_2300BCE4,greece_27_2500BCE1,-2700,-2300,Cycladic,Cyclades,Aegean,-2700,-2500,Cycladic,Cyclades,Aegean
0.6177777777777778,egypt_18d_44,greece_28_2500BCE2,-1500,-1400,New Kingdom,Egyptian,Egypt,-2800,-2500,Cycladic,Cyclades,Aegean
0.6166666666666667,egypt_19_5,egypt_6_1,-1300,-1200,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.6166666666666667,egypt5d_31,egypt_18d_44,-2600,-2400,Old Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.6166666666666667,egypt_13th_century,greece_28_2500BCE2,-1300,-1200,Middle Kingdom,Egyptian,Egypt,-2800,-2500,Cycladic,Cyclades,Aegean
0.6144444444444445,egypt13c_3,egypt_4thd_15,-1300,-1200,New Kingdom,Egyptian,Egypt,-2600,-2500,Old Kingdom,Egyptian,Egypt
0.6144444444444445,egypt5d_31,egypt_18th_1,-2600,-2400,Old Kingdom,Egyptian,Egypt,-1600,-1300,New Kingdom,Egyptian,Egypt
0.6055555555555555,egypt19thc_4,sm_22_7,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia
0.6033333333333334,egypt_18d_44,greece_27_2500BCE1,-1500,-1400,New Kingdom,Egyptian,Egypt,-2700,-2500,Cycladic,Cyclades,Aegean
0.6033333333333334,egypt5d_31,greece_28_2500BCE2,-2600,-2400,Old Kingdom,Egyptian,Egypt,-2800,-2500,Cycladic,Cyclades,Aegean
0.6022222222222222,egypt5d_31,greece_27_2500BCE1,-2600,-2400,Old Kingdom,Egyptian,Egypt,-2700,-2500,Cycladic,Cyclades,Aegean
0.6011111111111112,greece_27_2200BCE6,indus1,-2700,-2200,Cycladic,Cyclades,Aegean,-2200,-1900,Harappan,Indus,India-Pakistan
0.6,egypt_19_5,ramsesII,-1300,-1200,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.6,egypt_13th_century,egypt_6_1,-1300,-1200,Middle Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.5977777777777777,greece_27_2200BCE7,greece_28_2500BCE2,-2700,-2200,Cycladic,Cyclades,Aegean,-2800,-2500,Cycladic,Cyclades,Aegean
0.5977777777777777,egypt_12dynasty_7,greece_27_2300BCE4,-2000,-1800,Middle Kingdom,Egyptian,Egypt,-2700,-2300,Cycladic,Cyclades,Aegean
0.5966666666666667,egypt_12thC_19,egypt_18_34,-1200,-1100,New Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.5955555555555555,egypt5d_31,egypt_6_1,-2600,-2400,Old Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.5944444444444444,egypt_18d_44,egypt_6_1,-1500,-1400,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.5944444444444444,egypt_12thC_19,greece_27_2500BCE1,-1200,-1100,New Kingdom,Egyptian,Egypt,-2700,-2500,Cycladic,Cyclades,Aegean
0.5933333333333334,egypt_18d_44,new_kingdom_egypt2,-1500,-1400,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5933333333333334,greece_27_2300BCE4,greece_28_2500BCE2,-2700,-2300,Cycladic,Cyclades,Aegean,-2800,-2500,Cycladic,Cyclades,Aegean
0.5933333333333334,egypt_18d_61,indus3,-1500,-1400,New Kingdom,Egyptian,Egypt,-2500,-2000,Harappan,Indus,India-Pakistan
0.5933333333333334,egypt_12thC_19,greece_28_2500BCE2,-1200,-1100,New Kingdom,Egyptian,Egypt,-2800,-2500,Cycladic,Cyclades,Aegean
0.5933333333333334,egypt_18th_1,ramsesII,-1600,-1300,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5933333333333334,egypt_12d_9,ramsesII,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5922222222222222,egypt_13th_century,ramsesII,-1300,-1200,Middle Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.59,egypt_18th_1,sm_22_9,-1600,-1300,New Kingdom,Egyptian,Egypt,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia
0.5888888888888889,new_kingdom_egypt2,ramsesII,-1300,-1200,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5866666666666667,egypt5d_31,indus3,-2600,-2400,Old Kingdom,Egyptian,Egypt,-2500,-2000,Harappan,Indus,India-Pakistan
0.5833333333333334,anatolia_14_3,ramsesII,-1400,-1300,Late Bronze,Hittite,Anatolia,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5822222222222222,egypt5d_31,sm_22_9,-2600,-2400,Old Kingdom,Egyptian,Egypt,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia
0.5822222222222222,greece_27_2300BCE4,khafaji3,-2700,-2300,Cycladic,Cyclades,Aegean,-2800,-2600,Early Dynastic Period,Southern Mesopotamian,Mesopotamia
0.5822222222222222,egypt_18d_44,egypt_18th_1,-1500,-1400,New Kingdom,Egyptian,Egypt,-1600,-1300,New Kingdom,Egyptian,Egypt
0.5822222222222222,greece_27_2500BCE1,indus3,-2700,-2500,Cycladic,Cyclades,Aegean,-2500,-2000,Harappan,Indus,India-Pakistan
0.5811111111111111,egypt_18_34,greece_28_2500BCE2,-1500,-1400,New Kingdom,Egyptian,Egypt,-2800,-2500,Cycladic,Cyclades,Aegean
0.58,egypt5d_31,egypt_13th_century,-2600,-2400,Old Kingdom,Egyptian,Egypt,-1300,-1200,Middle Kingdom,Egyptian,Egypt
0.5788888888888889,greece_27_2300BCE4,sin_nippur_2600bc,-2700,-2300,Cycladic,Cyclades,Aegean,-2600,-2500,Early Dynastic,Sumerian,Mesopotamia
0.5788888888888889,anatolia_14_3,egypt_18d_44,-1400,-1300,Late Bronze,Hittite,Anatolia,-1500,-1400,New Kingdom,Egyptian,Egypt
0.5788888888888889,egypt_6_1,greece_27_2200BCE7,-2400,-2200,Old Kingdom,Egyptian,Egypt,-2700,-2200,Cycladic,Cyclades,Aegean
0.5766666666666667,anatolia_14_3,greece_28_2500BCE2,-1400,-1300,Late Bronze,Hittite,Anatolia,-2800,-2500,Cycladic,Cyclades,Aegean
0.5766666666666667,egypt_13th_century,egypt_18d_44,-1300,-1200,Middle Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.5755555555555556,egypt13c_3,greece_28_2500BCE2,-1300,-1200,New Kingdom,Egyptian,Egypt,-2800,-2500,Cycladic,Cyclades,Aegean
0.5755555555555556,egypt_12dynasty_7,egypt_12thC_19,-2000,-1800,Middle Kingdom,Egyptian,Egypt,-1200,-1100,New Kingdom,Egyptian,Egypt
0.5755555555555556,anatolia_14_3,greece_27_2500BCE1,-1400,-1300,Late Bronze,Hittite,Anatolia,-2700,-2500,Cycladic,Cyclades,Aegean
0.5755555555555556,greece_28_2500BCE2,new_kingdom_egypt2,-2800,-2500,Cycladic,Cyclades,Aegean,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5733333333333334,egypt_12d_9,egypt_12dynasty_7,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-2000,-1800,Middle Kingdom,Egyptian,Egypt
0.5722222222222222,SM_22cbce_4,ebla5,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-2600,-2400,Early Bronze Age,Ebla,Levant
0.5722222222222222,egypt_12thC_19,egypt_6_1,-1200,-1100,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
0.5711111111111111,egypt_12thC_19,egypt_19_5,-1200,-1100,New Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.57,greece_27_2500BCE1,indus1,-2700,-2500,Cycladic,Cyclades,Aegean,-2200,-1900,Harappan,Indus,India-Pakistan
0.57,egypt_12dynasty_7,egypt_18_34,-2000,-1800,Middle Kingdom,Egyptian,Egypt,-1500,-1400,New Kingdom,Egyptian,Egypt
0.57,egypt_6_1,ramsesII,-2400,-2200,Old Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.57,egypt13c_3,egypt_6_1,-1300,-1200,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Kingdom,Egyptian,Egypt
